"airport","name","iata","city","province","icao","lat","long"
"http://dbpedia.org/resource/Abdul_Rachman_Saleh_Airport","Abdul Rachman Saleh Airport","MLG","Malang",,"WARA",-7.928333282470703,112.7133331298828
"http://dbpedia.org/resource/Adisumarmo_International_Airport","Adisumarmo International Airport","SOC","Surakarta","Central Java","WAHQ",-7.516110897064209,110.7569427490234
"http://dbpedia.org/resource/Aek_Godang_Airport","Aek Godang Airport","AEG","Padang Sidempuan",,"WIME",1.400102734565735,99.43045043945312
"http://dbpedia.org/resource/Aji_Pangeran_Tumenggung_Pranoto_International_Airport","Aji Pangeran Tumenggung Pranoto International Airport","AAP","Samarinda","East Kalimantan","WALS",-0.3736111223697662,117.2555541992188
"http://dbpedia.org/resource/Alas_Leuser_Airport","Alas Leuser Airport","LSR","Kutacane",,"WILD",3.391999959945679,97.86399841308594
"http://dbpedia.org/resource/Alor_Island_Airport","Alor Island Airport","ARD",,,"WATM",-8.131667137145996,124.5975036621094
"http://dbpedia.org/resource/Amahai_Airport","Amahai Airport","AHI",,,"WAPA",-3.333333253860474,128.9166717529297
"http://dbpedia.org/resource/Andi_Jemma_Airport","Andi Jemma Airport","MXB","Masamba","North Luwu Regency","WAWM",-2.559722185134888,120.3305587768555
"http://dbpedia.org/resource/Anggi_Airport","Anggi Airport","AGD",,,,-1.383333325386047,133.8666687011719
"http://dbpedia.org/resource/Atang_Senjaya_Airport","Atang Senjaya Airport","-",,,"WIAJ",-6.538888931274414,106.7552795410156
"http://dbpedia.org/resource/Ayawasi_Airport","Ayawasi Airport","AYW",,,"WASA",-1.200000047683716,132.5
"http://dbpedia.org/resource/Babo_Airport","Babo Airport","BXB",,,"WASO",-2.549999952316284,133.4166717529297
"http://dbpedia.org/resource/Babullah_Airport","Babullah Airport",,,,,,
"http://dbpedia.org/resource/Bandanaira_Airport","Bandanaira Airport","NDA","Bandanaira",,"WAPC",-4.521666526794434,129.9038848876953
"http://dbpedia.org/resource/Banyuwangi_International_Airport","Banyuwangi International Airport","BWX","Banyuwangi Regency","East Java","WADY",-8.310000419616699,114.3402786254883
"http://dbpedia.org/resource/Betoambari_Airport","Betoambari Airport","BUW","Baubau","Southeast Sulawesi","WAWB",-5.516666889190674,122.5500030517578
"http://dbpedia.org/resource/Binaka_Airport","Binaka Airport","GNS",,,"WIMB",1.16611111164093,97.70444488525391
