AIRPORT,TIME,FLIGHT,AIRLINE,AIRCRAFT,STATUS,TYPE,TO/FROM
AAP,8:15:00 AM,ID6672,Batik Air ,B738 (PK-LDK) ,Landed 8:07 AM,Arrival,CGK
AAP,9:25:00 AM,IU640,Super Air Jet ,A320 (PK-SJV) ,Landed 10:00 AM,Arrival,SUB
AAP,10:05:00 AM,QG460,Citilink ,A320 (PK-GQH) ,Landed 10:13 AM,Arrival,SUB
AAP,10:10:00 AM,IU533,Super Air Jet ,A320 (PK-SGC) ,Landed 9:44 AM,Arrival,UPG
AAP,11:30:00 AM,IW1485,Wings Air ,AT76 (PK-WJG) ,Landed 11:17 AM,Arrival,BEJ
AAP,11:35:00 AM,JT314,Lion Air ,B738 (PK-LJV) ,Landed 11:43 AM,Arrival,SUB
AAP,12:50:00 PM,IU658,Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Landed 12:37 PM,Arrival,YIA
AAP,1:10:00 PM,ID6256,Batik Air ,A320 (PK-LZH) ,Landed 1:35 PM,Arrival,CGK
AAP,3:10:00 PM,QG422,Citilink ,A320 (PK-GQA) ,Landed 3:34 PM,Arrival,CGK
AAP,8:55:00 AM,ID6673,Batik Air ,B738 (PK-LDK) ,Departed 9:00 AM,Departure,CGK
AAP,9:25:00 AM,IU641,Super Air Jet ,A320 (PK-SJV) ,Departed 10:48 AM,Departure,SUB
AAP,10:40:00 AM,QG461,Citilink ,A320 (PK-GQH) ,Departed 10:53 AM,Departure,SUB
AAP,10:50:00 AM,IU532,Super Air Jet ,A320 (PK-SGC) ,Departed 10:39 AM,Departure,UPG
AAP,11:50:00 AM,IW1484,Wings Air ,AT76 (PK-WJG) ,Departed 12:12 PM,Departure,BEJ
AAP,12:20:00 PM,JT317,Lion Air ,B738 (PK-LJV) ,Departed 12:39 PM,Departure,SUB
AAP,1:30:00 PM,IU659,Super Air Jet (Our Super 50th Jet Livery) ,A320 (PK-STQ) ,Departed 1:37 PM,Departure,YIA
AAP,1:50:00 PM,ID6257,Batik Air ,A320 (PK-LZH) ,Departed 2:24 PM,Departure,CGK
AAP,3:40:00 PM,QG423,Citilink ,A320 (PK-GQA) ,Departed 4:23 PM,Departure,CGK
ABU,12:25:00 PM,IW1955,Wings Air ,AT76 (PK-WGU) ,Landed 12:16 PM,Arrival,KOE
ABU,12:50:00 PM,IW1954,Wings Air ,AT76 (PK-WGU) ,Estimated dep. 12:46 PM,Departure,KOE
AMQ,6:55:00 AM,ID6170,Batik Air ,B738 (PK-LZZ) ,Landed 6:38 AM,Arrival,CGK
AMQ,6:55:00 AM,JT888,Lion Air ,B738 (PK-LJW) ,Landed 6:45 AM,Arrival,UPG
AMQ,6:55:00 AM,JT1800,Lion Air ,739,Unknown,Arrival,UPG
AMQ,7:00:00 AM,JT880,Lion Air ,738,Unknown,Arrival,UPG
AMQ,7:15:00 AM,QG210,Citilink ,A320 (PK-GLP) ,Landed 7:05 AM,Arrival,CGK
AMQ,8:45:00 AM,JT880,Lion Air ,738,Unknown,Arrival,UPG
AMQ,9:10:00 AM,IL432,Trigana Air ,AT4 ,Unknown,Arrival,NRE
AMQ,9:20:00 AM,SJ694,Sriwijaya Air ,738,Unknown,Arrival,TTE
AMQ,11:00:00 AM,JT898,Lion Air ,739,Unknown,Arrival,UPG
AMQ,11:00:00 AM,JT786,Lion Air ,B738 (PK-LJS) ,Landed 11:11 AM,Arrival,UPG
AMQ,11:10:00 AM,IW1515,Wings Air ,AT76 (PK-WHV) ,Landed 11:22 AM,Arrival,SXK
AMQ,11:20:00 AM,SJ663,Sriwijaya Air ,738,Unknown,Arrival,LUV
AMQ,12:00:00 PM,SJ662,Sriwijaya Air ,738,Unknown,Arrival,UPG
AMQ,12:25:00 PM,IW1531,Wings Air ,AT76 (PK-WHJ) ,Landed 12:53 PM,Arrival,LUV
AMQ,12:40:00 PM,JT881,Lion Air ,B738 (PK-LJW) ,Landed 12:38 PM,Arrival,LUV
AMQ,1:20:00 PM,IL430,Trigana Air ,AT4 ,Unknown,Arrival,JIO
AMQ,2:25:00 PM,JT878,Lion Air ,738,Canceled,Arrival,SUB
AMQ,3:20:00 PM,IW1505,Wings Air ,AT7 ,Canceled,Arrival,SOQ
AMQ,3:35:00 PM,GA646,Garuda Indonesia ,B738 (PK-GFS) ,Landed 3:30 PM,Arrival,CGK
AMQ,7:25:00 AM,IW1514,Wings Air ,AT76 (PK-WHV) ,Departed 7:44 AM,Departure,SXK
AMQ,7:35:00 AM,IW1530,Wings Air ,AT76 (PK-WHJ) ,Departed 7:48 AM,Departure,DOB
AMQ,7:40:00 AM,JT791,Lion Air ,739,Unknown,Departure,UPG
AMQ,7:50:00 AM,ID6171,Batik Air ,B738 (PK-LZZ) ,Departed 8:06 AM,Departure,CGK
AMQ,7:55:00 AM,QG211,Citilink ,A320 (PK-GLP) ,Departed 8:02 AM,Departure,CGK
AMQ,8:00:00 AM,IL431,Trigana Air ,AT4 ,Unknown,Departure,NRE
AMQ,9:30:00 AM,JT880,Lion Air ,B738 (PK-LJW) ,Departed 9:33 AM,Departure,LUV
AMQ,10:05:00 AM,SJ695,Sriwijaya Air ,738,Unknown,Departure,TTE
AMQ,10:30:00 AM,IL429,Trigana Air ,AT4 ,Unknown,Departure,JIO
AMQ,11:40:00 AM,JT787,Lion Air ,B738 (PK-LJS) ,Departed 12:19 PM,Departure,UPG
AMQ,12:40:00 PM,SJ663,Sriwijaya Air ,738,Unknown,Departure,UPG
AMQ,1:20:00 PM,JT881,Lion Air ,B738 (PK-LJW) ,Departed 1:42 PM,Departure,UPG
AMQ,1:20:00 PM,JT3881,Lion Air ,738,Estimated dep. 1:42 PM,Departure,UPG
AMQ,3:30:00 PM,JT879,Lion Air ,738,Canceled,Departure,SUB
AMQ,3:40:00 PM,IW1506,Wings Air ,AT7 ,Canceled,Departure,SOQ
AMQ,4:20:00 PM,GA647,Garuda Indonesia ,B738 (PK-GFS) ,Departed 4:38 PM,Departure,CGK
ARD,9:10:00 AM,IW1943,Wings Air ,AT76 (PK-WHM) ,Landed 9:20 AM,Arrival,KOE
ARD,9:30:00 AM,IW1942,Wings Air ,AT76 (PK-WHM) ,Departed 9:55 AM,Departure,KOE
BDJ,4:30:00 AM,RI360,Rimbun Air ,73F ,Unknown,Arrival,BPN
BDJ,8:30:00 AM,IU628,Super Air Jet ,A320 (PK-SJF) ,Landed 8:31 AM,Arrival,CGK
BDJ,8:40:00 AM,IU634,Super Air Jet ,A320 (PK-SAO) ,Landed 8:39 AM,Arrival,SUB
BDJ,8:55:00 AM,JT522,Lion Air ,739,Canceled,Arrival,YIA
BDJ,9:30:00 AM,IW1395,Wings Air ,AT76 (PK-WGL) ,Landed 12:08 PM,Arrival,BPN
BDJ,9:35:00 AM,GA530,Garuda Indonesia ,B738 (PK-GMM) ,Landed 9:28 AM,Arrival,CGK
BDJ,9:45:00 AM,IU626,Super Air Jet ,320,Canceled,Arrival,CGK
BDJ,9:45:00 AM,QG480,Citilink ,A320 (PK-GQC) ,Landed 9:59 AM,Arrival,CGK
BDJ,10:30:00 AM,JT520,Lion Air ,B739 (PK-LGR) ,Landed 10:22 AM,Arrival,YIA
BDJ,10:55:00 AM,IU622,Super Air Jet ,A320 (PK-SAV) ,Landed 11:11 AM,Arrival,CGK
BDJ,11:00:00 AM,JT3318,Lion Air (20 years Sticker) ,B739 (PK-LHM) ,Landed 11:00 AM,Arrival,SUB
BDJ,11:10:00 AM,JT3844,Lion Air ,B739 (PK-LSK) ,Landed 11:28 AM,Arrival,DPS
BDJ,11:35:00 AM,IW1393,Wings Air ,AT76 (PK-WJU) ,Landed 11:44 AM,Arrival,KBU
